temp,rain,state_lyme,year,lyme,gf,rf,coy
44.6,34.87,,2001,129,1.76,2.21,1.2
44.5,44.89,262,2002,261,1.86,2.67,2.15
42.5,50.38,192,2003,190,1.54,1.95,2.72
43,43.24,228,2004,226,1.37,2.17,1.88
44,61.09,271,2005,265,1.52,1.86,1.59
45.8,58.25,624,2006,617,0.86,1.52,1.85
43.1,48.33,901,2007,896,1.12,2.04,1.77
43.9,60.78,1615,2008,1594,1.24,1.64,2.77
43,51.67,1425,2009,1415,1.3,1.66,2.3
46,50,1342,2010,1339,1.2,1.41,2
44.9,57.49,1301,2011,1299,1.52,1.51,1.92
46.6,45.18,1460,2012,1450,1.33,1.8,2.4
44.2,45.76,1689,2013,1679,1.07,1.34,1.46
43.1,49.64,1380,2014,674,0.92,1.13,1.21
43.6,44.01,1371,2015,516,0.69,1.12,1.21
45.7,39.57,1769,2016,852,0.77,0.88,1.06
44.9,49.17,1743,2017,1318,0.55,0.83,1.41
44.5,51.8,1382,2018,1377,1.02,1.63,1.52
43.3,50.25,1713,2019,1689,1.73,2.06,2.17
,,1027,2020,299,0.34,1.22,1.14
,,1563,2021,396,1.39,1.6,1.79
,,,2022,,0.48,1.17,1.98
,,,2023,,0.34,0.67,1.54
