Data taken from ../lyme/2024/luke_manu/data and r scripts/data/Furbearer Data Final.xlsx
lyme in cases per 100,000, gf, coy, rf are CPUE
WMU,lyme,gf,coy,rf
A  ,12.8183756,1.057142857,2.7576,2.3588
B  ,12.8183756,2.218,3.8208,3.4716
C1 ,12.8183756,1.652307692,4.5056,7.32875
C2 ,12.8183756,1.878333333,2.83,3.208333333
D1 ,21.51379874,5.739,3.4776,3.485416667
D2 ,37.24652111,1.1756,3.3264,2.3256
E  ,33.19529241,7.97,3.202631579,5.129411765
F  ,43.63652167,12.13882353,3.80625,5.144117647
G  ,39.69024537,1.4404,2.5512,2.2408
H1 ,40.73738957,2.069130435,2.9488,1.840434783
H2 ,39.10338483,2.653478261,2.4112,2.8684
I1 ,58.61965659,1.523043478,2.098333333,2.96125
I2 ,52.1375667,1.372083333,1.8716,1.6225
J1 ,62.32190924,2.005833333,2.3556,1.7732
J2 ,60.59111548,1.9476,1.3848,2.0096
K  ,59.68805967,1.6272,1.5256,2.1664
L  ,89.03448615,2.3084,1.746,1.9748
M  ,90.08522323,1.936521739,2.1068,2.556
