year,lyme,gf,rf,coy,gf_hpue,rf_hpue,coyote_hpue,gf_hunt,rf_hunt,coyote_hunt,state_lyme,rain,temp
2000,,10.80577963,17.08100512,11.36650033,38.80662697,15.7897599,15.34883393,"14,991","11,614","21,745",,,
2001,597,13.6739453,16.99205306,24.88771615,44.30656934,14.99453117,19.20961195,"20,031","13,572","29,578",654,35.05,45.3
2002,1089,8.457017631,12.96718683,10.39378678,37.57673962,12.12436961,13.3859842,"16,465","8,727","22,763",1106,35.08,44.6
2003,740,9.959246052,10.77918766,11.97524396,37.58609039,9.816602676,21.62481017,"14,462","5,267","34,460",763,28.02,43.2
2004,1144,9.785212554,11.01014636,12.84142137,40.68841976,10.46977152,20.99143866,"17,944","7,767","37,048",1184,34.91,43.5
2005,1459,8.286758835,10.09335615,12.88521009,22.22395833,9.983196174,20.54876081,"4,267","4,634","36,929",1496,28.55,45.1
2006,1466,8.155405788,10.54131737,14.95597319,41.27217125,16.99765442,19.56512348,"13,496","10,870","40,761",1496,30.08,46
2007,1813,10.75693551,15.94674614,17.08091482,26.46312659,12.64834667,17.32891016,"9,075","8,377","30,454",1854,33.49,44.7
2008,1998,6.76056338,11.5026087,14.04591935,17.11765289,16.01379465,24.61221096,"5,181","8,544","46,173",2057,32.72,41.8
2009,2589,6.984522932,14.5406926,15.7537155,23.86334314,7.917561471,19.25999898,"9,248","4,756","37,609",2587,29.76,42.4
2010,3488,12.01160853,14.56649151,15.49717181,14.76456945,10.88175293,23.33612353,"8,021","7,201","52,412",3506,39.02,45.5
2011,3649,8.067333651,11.34336389,14.93734418,27.05255926,9.690282857,23.5239911,"7,875","4,690","44,418",3615,31.04,44.1
2012,1764,15.82291667,11.00745268,15.63907,22.50488834,14.81843326,22.61232902,"10,934","10,769","60,341",3085,28.8,47.4
2013,1657,5.701754386,10.39509088,16.0215157,35.9651536,6.780461875,17.12998648,"7,844","2,296","37,114",3896,36.53,41.8
2014,1359,5.621972357,9.048653869,14.8600064,29.33484696,8.703561854,22.02709109,"6,977","2,727","41,353",2851,37.08,40.2
2015,1888,4.615560815,8.789649572,15.52609428,28.02545831,5.417475274,22.76338133,"9,203","2,317","43,298",3272,35.88,44.8
2016,2294,4.232268516,7.859901287,14.74365248,43.0951688,21.29683261,27.78156651,"11,846","6,986","60,291",3475,39.39,46.2
2017,2998,6.837189852,8.532268996,17.34973984,18.18472867,9.383663207,33.02029497,"2,272","2,911","52,390",4301,37.57,44.7
2018,1867,4.402321083,8.829588464,14.84197583,25.83476436,17.45031712,23.80499125,"4,062","4,127","34,263",3117,39.74,43.2
2019,2178,2.393980848,8.513762448,13.92918803,25.53677658,5.833417195,19.92082741,"6,482","1,739","35,729",3646,44.55,42.1
2020,1444,5.435745938,8.660089384,11.72800548,25.44046983,13.80594343,30.56846972,"2,859","1,928","46,815",3085,,
2021,2182,2.179782022,9.21849711,15.12285037,4.720626632,6.617986875,26.1961294,452,"1,432","51,193",4862,,
2022,,3.16552782,8.765848764,14.92118308,24.32100929,18.11313049,21.51444811,"1,388","1,774","28,918",5329,,
2023,,5.171503958,6.262214984,11.7507428,70.79260039,25.44323118,26.59808461,"4,707","2,167","31,078",,,
